date,stable_dmg_total,versioned_dmg_total,appcast_total,latest_tag,latest_stable_dmg,latest_versioned_dmg,latest_appcast
2026-09-03,28,12,37,v1.4.3,0,1,1
2026-09-04,33,16,41,v1.4.6,1,2,2
2026-09-05,41,23,48,v1.4.9,1,2,2
2026-09-06,50,31,59,v1.4.14,2,2,3
2026-09-07,56,34,65,v1.4.17,2,1,2
2026-09-08,63,34,67,v1.4.18,7,0,2
2026-09-09,67,36,69,v1.4.20,0,0,0
2026-09-10,68,43,71,v1.4.24,0,0,0
2026-09-11,72,46,73,v1.4.24,1,2,2
2026-09-12,75,48,78,v1.4.26,1,1,2
2026-09-13,77,51,80,v1.4.26,2,2,4
2026-09-14,78,52,82,v1.4.27,0,0,1
2026-09-15,90,53,87,v1.5.0,0,0,2
2026-09-16,94,56,92,v1.6.0,1,1,2
2026-09-17,95,58,94,v1.7.0,0,1,2
2026-09-18,97,60,98,v1.9.0,1,0,1
